Carrier,Specialty,County,nproviders
Anthem BCBS,103 Psychology,BOULDER,75
Anthem BCBS,025 Orthopedic Surgery,LARIMER,74
Anthem BCBS,008 Cardiovascular Disease,LARIMER,71
Anthem BCBS,101 Pediatrics - Routine/Primary Care,DOUGLAS,71
Anthem BCBS,103 Psychology,ARAPAHOE,69
Anthem BCBS,010 Chiropracty,JEFFERSON,68
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,ARAPAHOE,67
Anthem BCBS,029 Psychiatry,ADAMS,66
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,ADAMS,64
Anthem BCBS,015 General Surgery,JEFFERSON,64
Anthem BCBS,023 Ophthalmology,ARAPAHOE,63
Anthem BCBS,102 Licensed Clinical Social Workers,ARAPAHOE,62
Anthem BCBS,102 Licensed Clinical Social Workers,BOULDER,62
Anthem BCBS,007 Allergy and Immunology,DENVER,61
Anthem BCBS,011 Dermatology,ARAPAHOE,61
Anthem BCBS,010 Chiropracty,EL PASO,60
Anthem BCBS,015 General Surgery,LARIMER,60
Anthem BCBS,013 ENT/Otolaryngology,DENVER,59
Anthem BCBS,102 Licensed Clinical Social Workers,LARIMER,59
Anthem BCBS,003 Internal Medicine,PUEBLO,58
Anthem BCBS,101 Pediatrics - Routine/Primary Care,JEFFERSON,58
Anthem BCBS,010 Chiropracty,ARAPAHOE,57
Anthem BCBS,015 General Surgery,ARAPAHOE,56
Anthem BCBS,016 Gynecology (OB/GYN),JEFFERSON,56
Anthem BCBS,026 Physical Medicine & Rehabilitation,DENVER,56
Anthem BCBS,030 Pulmonology,DENVER,55
Anthem BCBS,103 Psychology,ADAMS,55
Anthem BCBS,025 Orthopedic Surgery,JEFFERSON,54
Anthem BCBS,025 Orthopedic Surgery,ADAMS,53
Anthem BCBS,029 Psychiatry,DENVER,53
Anthem BCBS,002 Family Medicine,LA PLATA,52
Anthem BCBS,011 Dermatology,DENVER,52
Anthem BCBS,103 Psychology,JEFFERSON,52
Anthem BCBS,010 Chiropracty,LARIMER,51
Anthem BCBS,015 General Surgery,EL PASO,51
Anthem BCBS,023 Ophthalmology,LARIMER,51
Anthem BCBS,003 Internal Medicine,ADAMS,50
Anthem BCBS,023 Ophthalmology,BOULDER,50
Anthem BCBS,025 Orthopedic Surgery,DOUGLAS,50
Anthem BCBS,103 Psychology,EL PASO,50
Anthem BCBS,008 Cardiovascular Disease,EL PASO,49
Anthem BCBS,023 Ophthalmology,EL PASO,49
Anthem BCBS,003 Internal Medicine,WELD,48
Anthem BCBS,008 Cardiovascular Disease,ADAMS,48
Anthem BCBS,008 Cardiovascular Disease,JEFFERSON,48
Anthem BCBS,014 Gastroenterology,EL PASO,48
Anthem BCBS,019 Neurology,DENVER,48
Anthem BCBS,021 Medical Oncology & Surgical Oncology,ADAMS,48
Anthem BCBS,002 Family Medicine,BROOMFIELD,47
Anthem BCBS,026 Physical Medicine & Rehabilitation,ARAPAHOE,47
Anthem BCBS,000 OTHER,ALAMOSA,46
Anthem BCBS,008 Cardiovascular Disease,DOUGLAS,46
Anthem BCBS,010 Chiropracty,BOULDER,46
Anthem BCBS,029 Psychiatry,ARAPAHOE,45
Anthem BCBS,002 Family Medicine,EAGLE,44
Anthem BCBS,014 Gastroenterology,ARAPAHOE,44
Anthem BCBS,014 Gastroenterology,DENVER,44
Anthem BCBS,030 Pulmonology,ADAMS,44
Anthem BCBS,023 Ophthalmology,JEFFERSON,43
Anthem BCBS,101 Pediatrics - Routine/Primary Care,WELD,43
Anthem BCBS,016 Gynecology (OB/GYN),WELD,42
Anthem BCBS,003 Internal Medicine,MESA,41
Anthem BCBS,008 Cardiovascular Disease,WELD,41
Anthem BCBS,016 Gynecology (OB/GYN),PUEBLO,41
Anthem BCBS,101 Pediatrics - Routine/Primary Care,BOULDER,41
Anthem BCBS,008 Cardiovascular Disease,BOULDER,40
Anthem BCBS,011 Dermatology,BOULDER,40
Anthem BCBS,018 Nephrology,DENVER,40
Anthem BCBS,021 Medical Oncology & Surgical Oncology,DENVER,40
Anthem BCBS,025 Orthopedic Surgery,BOULDER,40
Anthem BCBS,000 OTHER,GUNNISON,39
Anthem BCBS,007 Allergy and Immunology,ARAPAHOE,39
Anthem BCBS,014 Gastroenterology,BOULDER,39
Anthem BCBS,010 Chiropracty,DENVER,38
Anthem BCBS,015 General Surgery,ADAMS,38
Anthem BCBS,101 Pediatrics - Routine/Primary Care,LARIMER,38
Anthem BCBS,002 Family Medicine,GARFIELD,37
Anthem BCBS,010 Chiropracty,DOUGLAS,37
Anthem BCBS,020 Neurological Surgery,ARAPAHOE,37
Anthem BCBS,000 OTHER,DELTA,36
Anthem BCBS,015 General Surgery,BOULDER,36
Anthem BCBS,019 Neurology,LARIMER,36
Anthem BCBS,023 Ophthalmology,DOUGLAS,36
Anthem BCBS,031 Rheumatology,DENVER,36
Anthem BCBS,033 Urology,DENVER,36
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,EL PASO,35
Anthem BCBS,000 OTHER,GARFIELD,35
Anthem BCBS,012 Endocrinology,ARAPAHOE,35
Anthem BCBS,019 Neurology,JEFFERSON,35
Anthem BCBS,000 OTHER,OTERO,34
Anthem BCBS,011 Dermatology,EL PASO,34
Anthem BCBS,025 Orthopedic Surgery,EAGLE,34
Anthem BCBS,102 Licensed Clinical Social Workers,ADAMS,34
Anthem BCBS, 030 Pulmonology,DENVER,33
Anthem BCBS,002 Family Medicine,MONTROSE,33
Anthem BCBS,013 ENT/Otolaryngology,ADAMS,33
Anthem BCBS,019 Neurology,ADAMS,33
Anthem BCBS,022 Radiation Oncology,ARAPAHOE,33
Anthem BCBS,026 Physical Medicine & Rehabilitation,EL PASO,33
Anthem BCBS, 003 Internal Medicine,JEFFERSON,32
Anthem BCBS,000 OTHER,EAGLE,32
Anthem BCBS,002 Family Medicine,MORGAN,32
Anthem BCBS,003 Internal Medicine,GARFIELD,32
Anthem BCBS,012 Endocrinology,ADAMS,32
Anthem BCBS,013 ENT/Otolaryngology,ARAPAHOE,32
Anthem BCBS,019 Neurology,EL PASO,32
Anthem BCBS,020 Neurological Surgery,DENVER,32
Anthem BCBS,026 Physical Medicine & Rehabilitation,BOULDER,32
Anthem BCBS,027 Plastic Surgery,DENVER,32
Anthem BCBS, 003 Internal Medicine,DENVER,31
Anthem BCBS,000 OTHER,FREMONT,31
Anthem BCBS,000 OTHER,MONTROSE,31
Anthem BCBS,000 OTHER,PROWERS,31
Anthem BCBS,014 Gastroenterology,ADAMS,31
Anthem BCBS,028 Podiatry,DENVER,31
Anthem BCBS,030 Pulmonology,LARIMER,31
Anthem BCBS,000 OTHER,ARCHULETA,30
Anthem BCBS,003 Internal Medicine,LA PLATA,30
Anthem BCBS,018 Nephrology,ADAMS,30
Anthem BCBS,000 OTHER,MORGAN,29
Anthem BCBS,000 OTHER,SUMMIT,29
Anthem BCBS,019 Neurology,BOULDER,29
Anthem BCBS,023 Ophthalmology,MESA,29
Anthem BCBS, 002 Family Medicine,EL PASO,28
Anthem BCBS,000 OTHER,CHAFFEE,28
Anthem BCBS,000 OTHER,ROUTT,28
Anthem BCBS,013 ENT/Otolaryngology,EL PASO,28
Anthem BCBS, 002 Family Medicine,JEFFERSON,27
Anthem BCBS, 016 Gynecology (OB/GYN),DENVER,27
Anthem BCBS,011 Dermatology,ADAMS,27
Anthem BCBS,015 General Surgery,MESA,27
Anthem BCBS,015 General Surgery,PUEBLO,27
Anthem BCBS,026 Physical Medicine & Rehabilitation,ADAMS,27
Anthem BCBS,028 Podiatry,ARAPAHOE,27
Anthem BCBS,028 Podiatry,DOUGLAS,27
Anthem BCBS,028 Podiatry,LARIMER,27
Anthem BCBS,033 Urology,LARIMER,27
Anthem BCBS,002 Family Medicine,FREMONT,26
Anthem BCBS,014 Gastroenterology,DOUGLAS,26
Anthem BCBS,015 General Surgery,DOUGLAS,26
Anthem BCBS,102 Licensed Clinical Social Workers,PUEBLO,26
Anthem BCBS, 030 Pulmonology,ARAPAHOE,25
Anthem BCBS,002 Family Medicine,DELTA,25
Anthem BCBS,007 Allergy and Immunology,JEFFERSON,25
Anthem BCBS,014 Gastroenterology,LARIMER,25
Anthem BCBS,026 Physical Medicine & Rehabilitation,JEFFERSON,25
Anthem BCBS,029 Psychiatry,EL PASO,25
Anthem BCBS,101 Pediatrics - Routine/Primary Care,MESA,25
Anthem BCBS, 008 Cardiovascular Disease,EL PASO,24
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,ARAPAHOE,24
Anthem BCBS, 030 Pulmonology,JEFFERSON,24
Anthem BCBS,002 Family Medicine,CHAFFEE,24
Anthem BCBS,003 Internal Medicine,CHAFFEE,24
Anthem BCBS,007 Allergy and Immunology,ADAMS,24
Anthem BCBS,015 General Surgery,WELD,24
Anthem BCBS,017 Infectious Diseases,ARAPAHOE,24
Anthem BCBS,030 Pulmonology,EL PASO,24
Anthem BCBS, 002 Family Medicine,ADAMS,23
Anthem BCBS, 002 Family Medicine,DENVER,23
Anthem BCBS, 002 Family Medicine,LARIMER,23
Anthem BCBS, 008 Cardiovascular Disease,DENVER,23
Anthem BCBS, 017 Infectious Diseases,ARAPAHOE,23
Anthem BCBS, 017 Infectious Diseases,DENVER,23
Anthem BCBS,015 General Surgery,LOGAN,23
Anthem BCBS, 002 Family Medicine,ARAPAHOE,22
Anthem BCBS, 003 Internal Medicine,EL PASO,22
Anthem BCBS, 008 Cardiovascular Disease,ARAPAHOE,22
Anthem BCBS, 014 Gastroenterology,DENVER,22
Anthem BCBS, 014 Gastroenterology,EL PASO,22
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,DENVER,22
Anthem BCBS,016 Gynecology (OB/GYN),MESA,22
Anthem BCBS,022 Radiation Oncology,DENVER,22
Anthem BCBS,025 Orthopedic Surgery,MESA,22
Anthem BCBS,030 Pulmonology,ARAPAHOE,22
Anthem BCBS, 003 Internal Medicine,ARAPAHOE,21
Anthem BCBS, 004 Geriatrics,JEFFERSON,21
Anthem BCBS,000 OTHER,TELLER,21
Anthem BCBS,002 Family Medicine,GRAND,21
Anthem BCBS,002 Family Medicine,LOGAN,21
Anthem BCBS,003 Internal Medicine,FREMONT,21
Anthem BCBS,017 Infectious Diseases,ADAMS,21
Anthem BCBS,017 Infectious Diseases,DENVER,21
Anthem BCBS,021 Medical Oncology & Surgical Oncology,EL PASO,21
Anthem BCBS,028 Podiatry,EL PASO,21
Anthem BCBS,002 Family Medicine,ROUTT,20
Anthem BCBS,016 Gynecology (OB/GYN),EAGLE,20
Anthem BCBS,021 Medical Oncology & Surgical Oncology,BOULDER,20
Anthem BCBS,021 Medical Oncology & Surgical Oncology,JEFFERSON,20
Anthem BCBS,021 Medical Oncology & Surgical Oncology,LARIMER,20
Anthem BCBS,025 Orthopedic Surgery,LOGAN,20
Anthem BCBS,025 Orthopedic Surgery,PUEBLO,20
Anthem BCBS,035 Cardiothoracic Surgery,EL PASO,20
Anthem BCBS,102 Licensed Clinical Social Workers,LA PLATA,20
Anthem BCBS, 004 Geriatrics,DENVER,19
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,DOUGLAS,19
Anthem BCBS,003 Internal Medicine,ALAMOSA,19
Anthem BCBS,011 Dermatology,JEFFERSON,19
Anthem BCBS,012 Endocrinology,DENVER,19
Anthem BCBS,013 ENT/Otolaryngology,DOUGLAS,19
Anthem BCBS,028 Podiatry,BOULDER,19
Anthem BCBS,103 Psychology,DOUGLAS,19
Anthem BCBS,103 Psychology,WELD,19
Anthem BCBS, 004 Geriatrics,ARAPAHOE,18
Anthem BCBS, 030 Pulmonology,LARIMER,18
Anthem BCBS,002 Family Medicine,TELLER,18
Anthem BCBS,010 Chiropracty,ADAMS,18
Anthem BCBS,010 Chiropracty,WELD,18
Anthem BCBS,019 Neurology,DOUGLAS,18
Anthem BCBS,028 Podiatry,JEFFERSON,18
Anthem BCBS,033 Urology,EL PASO,18
Anthem BCBS, 003 Internal Medicine,ADAMS,17
Anthem BCBS, 003 Internal Medicine,BOULDER,17
Anthem BCBS, 008 Cardiovascular Disease,LARIMER,17
Anthem BCBS,002 Family Medicine,PHILLIPS,17
Anthem BCBS,002 Family Medicine,RIO GRANDE,17
Anthem BCBS,008 Cardiovascular Disease,MESA,17
Anthem BCBS,012 Endocrinology,EL PASO,17
Anthem BCBS,013 ENT/Otolaryngology,BROOMFIELD,17
Anthem BCBS,014 Gastroenterology,JEFFERSON,17
Anthem BCBS,020 Neurological Surgery,JEFFERSON,17
Anthem BCBS,023 Ophthalmology,PUEBLO,17
Anthem BCBS,027 Plastic Surgery,ARAPAHOE,17
Anthem BCBS,033 Urology,ADAMS,17
Anthem BCBS,103 Psychology,MESA,17
Anthem BCBS, 008 Cardiovascular Disease,CHAFFEE,16
Anthem BCBS,002 Family Medicine,ALAMOSA,16
Anthem BCBS,002 Family Medicine,MONTEZUMA,16
Anthem BCBS,002 Family Medicine,SUMMIT,16
Anthem BCBS,003 Internal Medicine,EAGLE,16
Anthem BCBS,007 Allergy and Immunology,LARIMER,16
Anthem BCBS,010 Chiropracty,PUEBLO,16
Anthem BCBS,014 Gastroenterology,BROOMFIELD,16
Anthem BCBS,018 Nephrology,ARAPAHOE,16
Anthem BCBS,020 Neurological Surgery,LARIMER,16
Anthem BCBS,025 Orthopedic Surgery,LA PLATA,16
Anthem BCBS,028 Podiatry,ADAMS,16
Anthem BCBS, 016 Gynecology (OB/GYN),EL PASO,15
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,LARIMER,15
Anthem BCBS,000 OTHER,MONTEZUMA,15
Anthem BCBS,010 Chiropracty,MESA,15
Anthem BCBS,011 Dermatology,LARIMER,15
Anthem BCBS,013 ENT/Otolaryngology,JEFFERSON,15
Anthem BCBS,016 Gynecology (OB/GYN),LA PLATA,15
Anthem BCBS,020 Neurological Surgery,ADAMS,15
Anthem BCBS,021 Medical Oncology & Surgical Oncology,WELD,15
Anthem BCBS,033 Urology,ARAPAHOE,15
Anthem BCBS,101 Pediatrics - Routine/Primary Care,PUEBLO,15
Anthem BCBS,102 Licensed Clinical Social Workers,WELD,15
Anthem BCBS, 002 Family Medicine,BOULDER,14
Anthem BCBS, 016 Gynecology (OB/GYN),ARAPAHOE,14
Anthem BCBS, 025 Orthopedic Surgery,ARAPAHOE,14
Anthem BCBS, 030 Pulmonology,BOULDER,14
Anthem BCBS, 030 Pulmonology,LA PLATA,14
Anthem BCBS,002 Family Medicine,OTERO,14
Anthem BCBS,002 Family Medicine,YUMA,14
Anthem BCBS,003 Internal Medicine,MONTROSE,14
Anthem BCBS,007 Allergy and Immunology,BOULDER,14
Anthem BCBS,008 Cardiovascular Disease,LA PLATA,14
Anthem BCBS,013 ENT/Otolaryngology,LARIMER,14
Anthem BCBS,015 General Surgery,EAGLE,14
Anthem BCBS,015 General Surgery,FREMONT,14
Anthem BCBS,020 Neurological Surgery,EL PASO,14
Anthem BCBS,029 Psychiatry,BOULDER,14
Anthem BCBS,029 Psychiatry,LARIMER,14
Anthem BCBS,035 Cardiothoracic Surgery,DENVER,14
Anthem BCBS, 002 Family Medicine,DOUGLAS,13
Anthem BCBS, 002 Family Medicine,WELD,13
Anthem BCBS, 003 Internal Medicine,LARIMER,13
Anthem BCBS, 008 Cardiovascular Disease,DOUGLAS,13
Anthem BCBS, 026 Physical Medicine & Rehabilitation,DENVER,13
Anthem BCBS, 030 Pulmonology,MESA,13
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,BROOMFIELD,13
Anthem BCBS,000 OTHER,GRAND,13
Anthem BCBS,011 Dermatology,DOUGLAS,13
Anthem BCBS,011 Dermatology,EAGLE,13
Anthem BCBS,011 Dermatology,PUEBLO,13
Anthem BCBS,021 Medical Oncology & Surgical Oncology,DOUGLAS,13
Anthem BCBS,022 Radiation Oncology,BOULDER,13
Anthem BCBS,026 Physical Medicine & Rehabilitation,LARIMER,13
Anthem BCBS,029 Psychiatry,JEFFERSON,13
Anthem BCBS,034 Vascular Surgery,DENVER,13
Anthem BCBS,035 Cardiothoracic Surgery,ARAPAHOE,13
Anthem BCBS, 003 Internal Medicine,PUEBLO,12
Anthem BCBS, 016 Gynecology (OB/GYN),ADAMS,12
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,JEFFERSON,12
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,MESA,12
Anthem BCBS, 029 Psychiatry,LARIMER,12
Anthem BCBS, 031 Rheumatology,DENVER,12
Anthem BCBS,001 General Practice,EL PASO,12
Anthem BCBS,002 Family Medicine,RIO BLANCO,12
Anthem BCBS,007 Allergy and Immunology,EL PASO,12
Anthem BCBS,015 General Surgery,GARFIELD,12
Anthem BCBS,016 Gynecology (OB/GYN),GARFIELD,12
Anthem BCBS,020 Neurological Surgery,BOULDER,12
Anthem BCBS,020 Neurological Surgery,DOUGLAS,12
Anthem BCBS,028 Podiatry,MESA,12
Anthem BCBS,029 Psychiatry,PUEBLO,12
Anthem BCBS,101 Pediatrics - Routine/Primary Care,GARFIELD,12
Anthem BCBS,102 Licensed Clinical Social Workers,DOUGLAS,12
Anthem BCBS,103 Psychology,BROOMFIELD,12
Anthem BCBS, 003 Internal Medicine,DOUGLAS,11
Anthem BCBS, 012 Endocrinology,DENVER,11
Anthem BCBS, 026 Physical Medicine & Rehabilitation,ARAPAHOE,11
Anthem BCBS, 030 Pulmonology,ADAMS,11
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,JEFFERSON,11
Anthem BCBS,002 Family Medicine,GUNNISON,11
Anthem BCBS,002 Family Medicine,MOFFAT,11
Anthem BCBS,003 Internal Medicine,BROOMFIELD,11
Anthem BCBS,003 Internal Medicine,LOGAN,11
Anthem BCBS,012 Endocrinology,LARIMER,11
Anthem BCBS,013 ENT/Otolaryngology,BOULDER,11
Anthem BCBS,014 Gastroenterology,MESA,11
Anthem BCBS,015 General Surgery,CHAFFEE,11
Anthem BCBS,018 Nephrology,EL PASO,11
Anthem BCBS,018 Nephrology,JEFFERSON,11
Anthem BCBS,025 Orthopedic Surgery,BROOMFIELD,11
Anthem BCBS,025 Orthopedic Surgery,WELD,11
Anthem BCBS,028 Podiatry,PUEBLO,11
Anthem BCBS,031 Rheumatology,DOUGLAS,11
Anthem BCBS,031 Rheumatology,EL PASO,11
Anthem BCBS,033 Urology,BOULDER,11
Anthem BCBS,034 Vascular Surgery,EL PASO,11
Anthem BCBS,035 Cardiothoracic Surgery,PUEBLO,11
Anthem BCBS,103 Psychology,PUEBLO,11
Anthem BCBS, 008 Cardiovascular Disease,PUEBLO,10
Anthem BCBS, 012 Endocrinology,ARAPAHOE,10
Anthem BCBS, 014 Gastroenterology,DOUGLAS,10
Anthem BCBS, 015 General Surgery,DENVER,10
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,EL PASO,10
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,LARIMER,10
Anthem BCBS, 030 Pulmonology,EL PASO,10
Anthem BCBS,000 OTHER,LOGAN,10
Anthem BCBS,001 General Practice,BOULDER,10
Anthem BCBS,003 Internal Medicine,DELTA,10
Anthem BCBS,003 Internal Medicine,MONTEZUMA,10
Anthem BCBS,003 Internal Medicine,TELLER,10
Anthem BCBS,014 Gastroenterology,PUEBLO,10
Anthem BCBS,015 General Surgery,LA PLATA,10
Anthem BCBS,016 Gynecology (OB/GYN),MORGAN,10
Anthem BCBS,019 Neurology,PUEBLO,10
Anthem BCBS,019 Neurology,WELD,10
Anthem BCBS,025 Orthopedic Surgery,GARFIELD,10
Anthem BCBS,025 Orthopedic Surgery,PITKIN,10
Anthem BCBS,030 Pulmonology,BOULDER,10
Anthem BCBS,031 Rheumatology,ARAPAHOE,10
Anthem BCBS,033 Urology,PUEBLO,10
Anthem BCBS,035 Cardiothoracic Surgery,LARIMER,10
Anthem BCBS,101 Pediatrics - Routine/Primary Care,LA PLATA,10
Anthem BCBS, 002 Family Medicine,MESA,9
Anthem BCBS, 002 Family Medicine,PUEBLO,9
Anthem BCBS, 003 Internal Medicine,MESA,9
Anthem BCBS, 008 Cardiovascular Disease,JEFFERSON,9
Anthem BCBS, 008 Cardiovascular Disease,TELLER,9
Anthem BCBS, 014 Gastroenterology,ARAPAHOE,9
Anthem BCBS, 016 Gynecology (OB/GYN),WELD,9
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,BOULDER,9
Anthem BCBS,000 OTHER,LAS ANIMAS,9
Anthem BCBS,000 OTHER,MOFFAT,9
Anthem BCBS,002 Family Medicine,ARCHULETA,9
Anthem BCBS,002 Family Medicine,LAS ANIMAS,9
Anthem BCBS,003 Internal Medicine,MORGAN,9
Anthem BCBS,004 Geriatrics,ADAMS,9
Anthem BCBS,008 Cardiovascular Disease,YUMA,9
Anthem BCBS,010 Chiropracty,LA PLATA,9
Anthem BCBS,011 Dermatology,WELD,9
Anthem BCBS,014 Gastroenterology,WELD,9
Anthem BCBS,015 General Surgery,BROOMFIELD,9
Anthem BCBS,016 Gynecology (OB/GYN),DELTA,9
Anthem BCBS,023 Ophthalmology,WELD,9
Anthem BCBS,025 Orthopedic Surgery,ROUTT,9
Anthem BCBS,027 Plastic Surgery,EL PASO,9
Anthem BCBS,030 Pulmonology,JEFFERSON,9
Anthem BCBS,031 Rheumatology,ADAMS,9
Anthem BCBS,033 Urology,DOUGLAS,9
Anthem BCBS,035 Cardiothoracic Surgery,JEFFERSON,9
Anthem BCBS,101 Pediatrics - Routine/Primary Care,BROOMFIELD,9
Anthem BCBS,102 Licensed Clinical Social Workers,BROOMFIELD,9
Anthem BCBS, 002 Family Medicine,TELLER,8
Anthem BCBS, 003 Internal Medicine,LA PLATA,8
Anthem BCBS, 004 Geriatrics,ADAMS,8
Anthem BCBS, 004 Geriatrics,DOUGLAS,8
Anthem BCBS, 008 Cardiovascular Disease,FREMONT,8
Anthem BCBS, 011 Dermatology,ARAPAHOE,8
Anthem BCBS, 015 General Surgery,EL PASO,8
Anthem BCBS, 016 Gynecology (OB/GYN),JEFFERSON,8
Anthem BCBS, 019 Neurology,ARAPAHOE,8
Anthem BCBS, 025 Orthopedic Surgery,DENVER,8
Anthem BCBS, 029 Psychiatry,ARAPAHOE,8
Anthem BCBS,000 OTHER,PARK,8
Anthem BCBS,000 OTHER,YUMA,8
Anthem BCBS,002 Family Medicine,CONEJOS,8
Anthem BCBS,002 Family Medicine,HUERFANO,8
Anthem BCBS,002 Family Medicine,PITKIN,8
Anthem BCBS,002 Family Medicine,SEDGWICK,8
Anthem BCBS,003 Internal Medicine,ROUTT,8
Anthem BCBS,007 Allergy and Immunology,DOUGLAS,8
Anthem BCBS,008 Cardiovascular Disease,MORGAN,8
Anthem BCBS,011 Dermatology,MESA,8
Anthem BCBS,012 Endocrinology,BOULDER,8
Anthem BCBS,016 Gynecology (OB/GYN),ALAMOSA,8
Anthem BCBS,016 Gynecology (OB/GYN),BROOMFIELD,8
Anthem BCBS,016 Gynecology (OB/GYN),SUMMIT,8
Anthem BCBS,018 Nephrology,LARIMER,8
Anthem BCBS,022 Radiation Oncology,LARIMER,8
Anthem BCBS,023 Ophthalmology,ADAMS,8
Anthem BCBS,023 Ophthalmology,ALAMOSA,8
Anthem BCBS,025 Orthopedic Surgery,FREMONT,8
Anthem BCBS,025 Orthopedic Surgery,SUMMIT,8
Anthem BCBS,026 Physical Medicine & Rehabilitation,MESA,8
Anthem BCBS,029 Psychiatry,DOUGLAS,8
Anthem BCBS,033 Urology,WELD,8
Anthem BCBS,035 Cardiothoracic Surgery,MESA,8
Anthem BCBS,101 Pediatrics - Routine/Primary Care,ROUTT,8
Anthem BCBS, 002 Family Medicine,EAGLE,7
Anthem BCBS, 002 Family Medicine,GRAND,7
Anthem BCBS, 004 Geriatrics,EL PASO,7
Anthem BCBS, 018 Nephrology,DENVER,7
Anthem BCBS, 025 Orthopedic Surgery,BOULDER,7
Anthem BCBS, 025 Orthopedic Surgery,EL PASO,7
Anthem BCBS, 026 Physical Medicine & Rehabilitation,EL PASO,7
Anthem BCBS, 026 Physical Medicine & Rehabilitation,LARIMER,7
Anthem BCBS, 030 Pulmonology,WELD,7
Anthem BCBS, 035 Cardiothoracic Surgery,DENVER,7
Anthem BCBS, 035 Cardiothoracic Surgery,EL PASO,7
Anthem BCBS, 035 Cardiothoracic Surgery,WELD,7
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,BOULDER,7
Anthem BCBS,000 OTHER,KIT CARSON,7
Anthem BCBS,000 OTHER,PITKIN,7
Anthem BCBS,000 OTHER,SAN MIGUEL,7
